id;nazev_cz;nazev_en;trida_cz;cena;k_prohlidce
7;"Šváb syčivý";"Madagascar giant cockroach ";"Bezobratlí";1000;1
8;"Pakobylka okřídlená";"Pink-winged stick insect";"Bezobratlí";1000;1
16;"Tayra";"Tayra";"Savci";5000;1
35;"Kajmanka supí";"Alligator snapping turtle";"Plazi";2000;1
37;"Želva žlutočelá";"Indochinese box turtle";"Plazi";1000;1
38;"Želva stepní (= čtyřprstá)";"Russian tortoise";"Plazi";1500;1
39;"Želva sloní";"Galapagos tortoise";"Plazi";5000;1
40;"Želva obrovská";"Aldabra giant tortoise";"Plazi";5000;1
41;"Želva skalní";"Pancake tortoise";"Plazi";1000;1
50;"Leguán kubánský";"Cuban ground iguana";"Plazi";3000;1
56;"Scink šalomounský";"Solomon Islands skink";"Plazi";1000;1
59;"Dracéna guyanská";"Caiman lizard";"Plazi";3000;1
61;"Varan smaragdový";"Green tree monitor";"Plazi";1500;1
67;"Hroznýšovec duhový";"Brazilian rainbow boa";"Plazi";1500;1
68;"Hroznýšovec kubánský";"Cuban boa";"Plazi";1500;1
70;"Hroznýš psohlavý";"Madagascar tree boa";"Plazi";2000;1
71;"Krajta tygrovitá";"Indian rock python";"Plazi";2000;1
73;"Krajta královská";"Ball python";"Plazi";2000;0
75;"Krajta zelená";"Green tree python";"Plazi";2000;1
77;"Korálovka Ruthvenova";"Ruthven's king snake";"Plazi";1500;1
79;"Užovka nosatá";"Vietnamese longnose snake";"Plazi";1500;0
83;"Nandu Darwinův";"Darwin's rhea";"Ptáci";5000;1
84;"Kasuár přílbový";"Southern cassowary";"Ptáci";8000;1
85;"Emu hnědý";"Emu";"Ptáci";5000;1
86;"Tučňák Humboldtův";"Humboldt's penguin";"Ptáci";5000;1
87;"Pelikán bílý";"Eastern white pelican";"Ptáci";8000;1
88;"Pelikán kadeřavý";"Dalmatian pelican";"Ptáci";8000;1
90;"Kvakoš noční";"Night heron";"Ptáci";2000;1
91;"Volavčík člunozobý";"Boat-billed heron";"Ptáci";2000;1
93;"Čáp černý";"Black stork";"Ptáci";2500;1
94;"Čáp simbil";"Abdim's stork";"Ptáci";2500;1
95;"Marabu africký";"Marabou stork";"Ptáci";4000;0
97;"Zejozob africký";"African openbill";"Ptáci";2500;1
98;"Ibis rudý";"Scarlet ibis";"Ptáci";3000;1
99;"Ibis bílý";"White ibis";"Ptáci";3000;1
100;"Ibis skalní";"Northern bald ibis";"Ptáci";3000;1
102;"Kolpík bílý";"Eurasian spoonbill";"Ptáci";3000;1
103;"Plameňák chilský";"Chilean flamingo";"Ptáci";3000;1
104;"Plameňák růžový";"Greater flamingo";"Ptáci";3000;1
105;"Plameňák kubánský";"Carribean flamingo";"Ptáci";3000;1
109;"Husa malá";"Lesser white-fronted goose";"Ptáci";1000;1
110;"Berneška rudokrká";"Red-breasted goose";"Ptáci";1000;1
111;"Berneška kanadská";"Canada goose";"Ptáci";1000;1
116;"Kachnička mandarínská";"Mandarin duck";"Ptáci";1000;1
117;"Kachna bahamská";"White-cheeked pintail";"Ptáci";1000;1
118;"Čírka obecná";"Teal";"Ptáci";1000;1
120;"Čírka modrá";"Garganey";"Ptáci";1000;1
123;"Polák malý";"Ferruginous duck";"Ptáci";1000;1
136;"Pižmovka hřebenatá";"Comb duck";"Ptáci";1000;1
140;"Sup hnědý";"Eurasian black vulture";"Ptáci";3000;1
142;"Orlosup bradatý";"Bearded vulture";"Ptáci";3000;1
144;"Orel bělohlavý";"Bald eagle";"Ptáci";3000;1
146;"Sup mrchožravý";"Egyptian  vulture";"Ptáci";3000;1
147;"Orel kejklíř";"Bateleur";"Ptáci";3000;0
148;"Hadilov písař";"Secretary bird";"Ptáci";3000;0
152;"Guan modrohrdlý";"Blue-throated piping-guan";"Ptáci";2000;0
160;"Bažant Edwardsův";"Edward's pheasant";"Ptáci";1000;1
163;"Páv korunkatý";"Indian peacock";"Ptáci";1000;1
165;"Bažant palawanský";"Palawan peacock-pheasant";"Ptáci";1000;1
166;"Bažant malajský";"Malaysian peacock-pheasant";"Ptáci";1000;1
172;"Jeřáb rajský";"Blue crane";"Ptáci";2500;1
173;"Jeřáb panenský";"Demoiselle crane";"Ptáci";2500;1
175;"Jeřáb bělošíjí";"White-naped crane";"Ptáci";2500;1
178;"Seriema rudozobá";"Red-legged seriema";"Ptáci";2500;1
184;"Holub krvavý";"Bleeding-heart pigeon";"Ptáci";1000;1
186;"Holub chocholatý";"Crested pigeon";"Ptáci";1000;1
188;"Holub bronzový";"Green imperial pigeon";"Ptáci";1000;1
189;"Holub dvoubarvý";"Pied imperial pigeon";"Ptáci";1000;1
190;"Holub nikobarský";"Nicobar pigeon";"Ptáci";1000;1
191;"Holub bronzovokřídlý";"Common bronzewing";"Ptáci";1000;1
195;"Lori černý";"Black lory";"Ptáci";1500;1
197;"Lori olivový";"Brown lory";"Ptáci";1500;1
200;"Lori horský";"Rainbow lorikeet";"Ptáci";1500;1
202;"Lori papuánský";"Papuan lorikeet";"Ptáci";1500;0
205;"Loríček rudobradý";"Edwards's fig-parrot";"Ptáci";1500;1
212;"Papoušek mniší";"Monk parakeet";"Ptáci";1000;0
213;"Turako bělobřichý";"White-bellied go-away-bird";"Ptáci";1000;1
216;"Sova pálená";"Barn owl";"Ptáci";3000;1
217;"Sýček obecný";"Little owl";"Ptáci";3000;1
225;"Puštík bradatý";"Great grey owl";"Ptáci";3000;1
226;"Puštík bělavý";"Ural owl";"Ptáci";3000;1
227;"Sýc rousný";"Boreal owl";"Ptáci";3000;1
230;"Lelkoun soví";"Tawny frogmouth";"Ptáci";1000;1
233;"Dudek chocholatý";"Hoopoe";"Ptáci";1500;0
234;"Dvojzoborožec indický";"Great Indian hornbill";"Ptáci";3000;1
235;"Zoborožec kaferský";"African ground hornbill";"Ptáci";3000;0
241;"Sojkovec chocholatý";"White-crested laughingthrush";"Ptáci";1000;1
242;"Sojkovec černohrdlý";"Black-throated laughingthrush";"Ptáci";1000;1
243;"Sojkovec nádherný";"Red-winged laughingthrush";"Ptáci";1000;1
245;"Timálie sečuánská";"Omeishan liocichla";"Ptáci";1000;1
252;"Majna Rothschildova";"Bali starling";"Ptáci";1000;1
254;"Loskuták posvátný";"Hill mynah";"Ptáci";2000;1
261;"Krkavec velký";"Raven";"Ptáci";2000;1
269;"Ježura australská";"Short-beaked echidna";"Savci";5000;1
271;"Klokan rudý";"Red kangaroo";"Savci";7000;1
272;"Bodlín Telfairův";"Lesser hedgehog tenrec";"Savci";2000;1
277;"Lemur kata";"Ring-tailed lemur";"Savci";5000;1
281;"Maki trpasličí";"Gray mouse lemur";"Savci";2000;1
285;"Komba ušatá";"Northern lesser bushbaby";"Savci";2000;1
288;"Talapoin severní";"Gabon talapoin";"Savci";5000;1
293;"Chápan středoamerický";"Geoffroy's spider monkey";"Savci";5000;1
297;"Orangutan sumaterský";"Sumatran orang-utan";"Savci";30000;1
298;"Gorila nížinná";"Western lowland gorilla";"Savci";30000;1
304;"Vydra severoamerická";"Canadian otter";"Savci";6000;1
305;"Panda červená";"Lesser panda";"Savci";7000;1
310;"Medvěd lední";"Polar bear";"Savci";30000;1
311;"Hyena čabraková";"Brown hyena";"Savci";6000;1
317;"Fenek";"Fennec fox";"Savci";5000;1
319;"Vlk hřivnatý";"Maned wolf";"Savci";6000;1
320;"Pes pralesní";"Bush dog";"Savci";5000;1
329;"Jaguarundi";"Jaguarundi";"Savci";5000;1
330;"Levhart obláčkový";"Clouded leopard";"Savci";5000;1
331;"Levhart mandžuský";"Amur leopard";"Savci";20000;1
334;"Tygr ussurijský";"Siberian tiger";"Savci";50000;1
335;"Tygr sumaterský";"Sumatran tiger";"Savci";50000;1
336;"Lev indický";"Asiatic lion";"Savci";30000;1
337;"Gepard";"Cheetah";"Savci";20000;1
338;"Lachtan jihoafrický";"Cape fur seal";"Savci";10000;1
345;"Křeček velký";"Giant jumping rat";"Savci";1000;1
354;"Pískomil křečkovitý (kyjochvost)";"Fat-tailed gerbil";"Savci";1000;1
359;"Krysa akáciová";"Acacia rat";"Savci";1000;1
364;"Dikobraz srstnatonosý";"Indian crested porcupine";"Savci";2000;1
366;"Morče domácí";"Guinea pig";"Savci";1000;0
369;"Hutia-konga";"Cuban hutia";"Savci";1000;1
371;"Hrabáč";"Aardvark";"Savci";7000;1
373;"Kůň Převalského";"Przewalski's horse";"Savci";8000;1
376;"Kiang východní";"Eastern kiang";"Savci";5000;1
377;"Zebra Grévyho";"Grevy's zebra";"Savci";6000;1
381;"Slon indický";"Asian elephant";"Savci";50000;1
385;"Hroch obojživelný";"Hippopotamus";"Savci";50000;1
387;"Velbloud dvouhrbý";"Bactrian camel";"Savci";10000;1
388;"Lama guanako";"Guanaco";"Savci";5000;1
389;"Lama alpaka";"Alpaca";"Savci";5000;1
392;"Los evropský";"Elk (moose in US)";"Savci";7000;1
394;"Jelen lyrorohý";"Brow-antlered deer";"Savci";5000;1
396;"Žirafa severní núbijská (= Rothschildova)";"Rothschild's giraffe  ";"Savci";50000;1
397;"Sitatunga západoafrická";"West African sitatunga";"Savci";5000;1
399;"Bongo horský";"Eastern bongo";"Savci";7000;1
402;"Adax";"Addax";"Savci";5000;1
403;"Přímorožec šavlorohý";"Scimitar-horned oryx";"Savci";5000;1
405;"Kozorožec kavkazský";"Caucasian ibex";"Savci";3000;1
408;"Paovce hřivnatá";"Barbary sheep";"Savci";3000;1
409;"Tahr himálajský";"Himalayan tahr";"Savci";3000;1
411;"Anoa nížinný";"Lowland anoa";"Savci";7000;1
412;"Bizon";"American bison";"Savci";10000;1
413;"Zubr";"European bison";"Savci";10000;1
431;"Husovec stračí";"Magpie goose";"Ptáci";1000;1
437;"Takin indický";"Takin";"Savci";5000;1
438;"Ocelot stromový";"Tiger cat";"Savci";5000;1
441;"Makak magot";"Barbary macaque";"Savci";5000;1
447;"Korunáč šedomodrý";"Common crowned pigeon";"Ptáci";1500;0
455;"Sob karelský";"Finnish forest reindeer";"Savci";7000;1
461;"Pižmovka bělokřídlá";"White-winged wood duck";"Ptáci";1000;1
467;"Ústřičník velký";"Eurasian oystercatcher";"Ptáci";1500;1
475;"Ledňák modrokřídlý";"Blue-winged kookaburra";"Ptáci";3000;1
476;"Lorikul modrobradý";"Vernal hanging-parrot";"Ptáci";1500;1
478;"Želva annámská";"Vietnamese pond turtle";"Plazi";1000;1
479;"Želva amboinská";"Malayan box turtle";"Plazi";1000;1
481;"Myš páskovaná";"Spotted grass mouse";"Savci";1000;1
483;"Zákeřnice mombo";"Assassin bug";"Bezobratlí";1000;1
485;"Kachnička šedoboká";"Ringed teal";"Ptáci";1000;1
491;"Frankolín žlutokrký";"Yellow-necked francolin";"Ptáci";1000;1
492;"Bodlinatka turecká";"Turkish spiny mouse";"Savci";1000;0
493;"Orel východní";"Steller's sea-eagle";"Ptáci";3000;1
494;"Lori černohlavý";"Purple-naped lory";"Ptáci";1500;1
498;"Kolpík růžový";"Roseate spoonbill";"Ptáci";3000;1
499;"Pásovec kulovitý";"Southern three-banded armadillo";"Savci";4000;1
504;"Psoun prériový";"Black-tailed prairie dog";"Savci";1000;1
505;"Vlk eurasijský";"Eurasian wolf";"Savci";6000;1
506;"Surikata";"Meerkat";"Savci";5000;1
508;"Pštros dvouprstý";"Ostrich";"Ptáci";5000;0
511;"Myšák hnědokřídlý";"Speckled mousebird";"Ptáci";1000;1
520;"Ještěrkovec velký";"Round-nosed plated lizard";"Plazi";1000;1
522;"Krajta Albertisova";"Northern white-lipped python";"Plazi";2000;1
533;"Drozd oranžovohlavý";"Orange-headed thrush";"Ptáci";1000;1
538;"Kachnice bělohlavá";"White-headed duck";"Ptáci";1000;1
545;"Holub růžový";"Pink pigeon";"Ptáci";1000;1
557;"Holub modroocasý";"Blue-tailed imperial pigeon";"Ptáci";1000;1
563;"Mandelík hajní";"Common roller";"Ptáci";1500;0
568;"Vlhovec chocholatý";"Crested oropendola";"Ptáci";1500;0
570;"Jeřáb mandžuský";"Red-crowned crane";"Ptáci";2500;1
571;"Puštík brýlatý";"Spectacled owl";"Ptáci";3000;1
575;"Luňák červený";"Red kite";"Ptáci";3000;1
576;"Králík domácí";"Domestic rabbit";"Savci";1000;0
577;"Pískomil veverkoocasý";"Bushy-tailed jird";"Savci";1000;1
581;"Tana severní";"Northern tree-shrew";"Savci";2000;1
583;"Nahur modrý";"Bharal";"Savci";3000;1
585;"Buvolec běločelý";"Blesbock";"Savci";5000;0
586;"Přímorožec beisa";"Beisa oryx";"Savci";5000;0
587;"Antilopa vraná";"Sable antelope";"Savci";5000;1
