Region,Country,City,Day,AvgTemperature
Africa,Algeria,Algiers,1,62.0
Africa,Algeria,Algiers,2,62.2
Africa,Algeria,Algiers,3,65.7
Africa,Algeria,Algiers,4,69.8
Africa,Algeria,Algiers,5,63.8
Africa,Algeria,Algiers,6,61.5
Africa,Algeria,Algiers,7,56.2
Africa,Algeria,Algiers,8,55.3
Africa,Algeria,Algiers,9,52.6
Africa,Algeria,Algiers,10,52.9
Africa,Algeria,Algiers,11,58.8
Africa,Algeria,Algiers,12,59.9
Africa,Algeria,Algiers,13,54.1
Africa,Algeria,Algiers,14,54.9
Africa,Algeria,Algiers,15,53.9
Africa,Algeria,Algiers,16,52.0
Africa,Algeria,Algiers,17,51.8
Africa,Algeria,Algiers,18,53.6
Africa,Algeria,Algiers,19,53.1
Africa,Algeria,Algiers,20,52.7
Africa,Algeria,Algiers,21,52.2
Africa,Algeria,Algiers,22,51.5
Africa,Algeria,Algiers,23,56.4
Africa,Algeria,Algiers,24,54.7
Africa,Algeria,Algiers,25,56.8
Africa,Algeria,Algiers,26,55.3
Africa,Algeria,Algiers,27,52.3
Africa,Algeria,Algiers,28,52.3
Africa,Algeria,Algiers,29,60.7
Africa,Algeria,Algiers,30,55.3
Africa,Benin,Cotonou,1,81.7
Africa,Benin,Cotonou,2,81.8
Africa,Benin,Cotonou,3,83.6
Africa,Benin,Cotonou,4,83.4
Africa,Benin,Cotonou,5,80.3
Africa,Benin,Cotonou,6,81.6
Africa,Benin,Cotonou,7,82.3
Africa,Benin,Cotonou,8,83.6
Africa,Benin,Cotonou,9,84.1
Africa,Benin,Cotonou,10,83.8
Africa,Benin,Cotonou,11,84.3
Africa,Benin,Cotonou,12,83.8
Africa,Benin,Cotonou,13,84.1
Africa,Benin,Cotonou,14,83.6
Africa,Benin,Cotonou,15,84.2
Africa,Benin,Cotonou,16,84.2
Africa,Benin,Cotonou,17,84.8
Africa,Benin,Cotonou,18,84.0
Africa,Benin,Cotonou,19,84.3
Africa,Benin,Cotonou,20,84.0
Africa,Benin,Cotonou,21,82.6
Africa,Benin,Cotonou,22,83.5
Africa,Benin,Cotonou,23,82.3
Africa,Benin,Cotonou,24,82.5
Africa,Benin,Cotonou,25,82.0
Africa,Benin,Cotonou,26,81.4
Africa,Benin,Cotonou,27,82.8
Africa,Benin,Cotonou,28,83.2
Africa,Benin,Cotonou,29,83.2
Africa,Benin,Cotonou,30,83.0
Africa,Central African Republic,Bangui,1,77.4
Africa,Central African Republic,Bangui,2,75.9
Africa,Central African Republic,Bangui,3,73.2
Africa,Central African Republic,Bangui,4,76.1
Africa,Central African Republic,Bangui,5,79.6
Africa,Central African Republic,Bangui,6,74.9
Africa,Central African Republic,Bangui,7,76.3
Africa,Central African Republic,Bangui,8,81.0
Africa,Central African Republic,Bangui,9,80.2
Africa,Central African Republic,Bangui,10,80.7
Africa,Central African Republic,Bangui,11,80.9
Africa,Central African Republic,Bangui,12,78.5
Africa,Central African Republic,Bangui,13,79.0
Africa,Central African Republic,Bangui,14,81.4
Africa,Central African Republic,Bangui,15,76.1
Africa,Central African Republic,Bangui,16,76.2
Africa,Central African Republic,Bangui,17,75.6
Africa,Central African Republic,Bangui,18,77.6
Africa,Central African Republic,Bangui,19,75.8
Africa,Central African Republic,Bangui,20,79.7
Africa,Central African Republic,Bangui,21,81.4
Africa,Central African Republic,Bangui,22,79.7
Africa,Central African Republic,Bangui,23,78.0
Africa,Central African Republic,Bangui,24,79.8
Africa,Central African Republic,Bangui,25,78.2
Africa,Central African Republic,Bangui,26,75.9
Africa,Central African Republic,Bangui,27,80.8
Africa,Central African Republic,Bangui,28,80.1
Africa,Central African Republic,Bangui,29,80.6
Africa,Central African Republic,Bangui,30,78.1
Africa,Congo,Brazzaville,1,78.2
Africa,Congo,Brazzaville,2,77.7
Africa,Congo,Brazzaville,3,80.2
Africa,Congo,Brazzaville,4,81.9
Africa,Congo,Brazzaville,5,75.6
Africa,Congo,Brazzaville,6,79.1
Africa,Congo,Brazzaville,7,77.5
Africa,Congo,Brazzaville,8,77.8
Africa,Congo,Brazzaville,9,79.5
Africa,Congo,Brazzaville,10,75.7
Africa,Congo,Brazzaville,11,78.0
Africa,Congo,Brazzaville,12,76.0
Africa,Congo,Brazzaville,13,79.6
Africa,Congo,Brazzaville,14,79.4
Africa,Congo,Brazzaville,15,81.2
Africa,Congo,Brazzaville,16,75.3
Africa,Congo,Brazzaville,17,78.6
Africa,Congo,Brazzaville,18,78.5
Africa,Congo,Brazzaville,19,79.2
Africa,Congo,Brazzaville,20,80.4
Africa,Congo,Brazzaville,21,81.6
Africa,Congo,Brazzaville,22,77.8
Africa,Congo,Brazzaville,23,78.7
Africa,Congo,Brazzaville,24,78.3
Africa,Congo,Brazzaville,25,78.2
Africa,Congo,Brazzaville,26,78.3
Africa,Congo,Brazzaville,27,81.3
Africa,Congo,Brazzaville,28,75.8
Africa,Congo,Brazzaville,29,78.6
Africa,Congo,Brazzaville,30,80.9
Africa,Egypt,Cairo,1,72.5
Africa,Egypt,Cairo,2,69.8
Africa,Egypt,Cairo,3,69.0
Africa,Egypt,Cairo,4,69.1
Africa,Egypt,Cairo,5,70.9
Africa,Egypt,Cairo,6,68.8
Africa,Egypt,Cairo,7,68.0
Africa,Egypt,Cairo,8,68.9
Africa,Egypt,Cairo,9,68.9
Africa,Egypt,Cairo,10,69.2
Africa,Egypt,Cairo,11,68.9
